player,score
"['M_Anh', 'Hieu', 'random', 'NA_RL']","[0, 6, 8, 9]"
"['M_Anh', 'Phongcu', 'Hieu', 'NA_RL']","[0, 1, 3, 5]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 1, 3]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 4, 9]"
"['Hieu', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 1, 5, 6]"
"['PhongMinhAnh', 'NA_RL', 'Hieu', 'random']","[0, 3, 3, 5]"
"['PhongMinhAnh', 'Hieu', 'Phongcu', 'NA_RL']","[0, 1, 2, 5]"
"['NA_RL', 'Hieu', 'Phongcu', 'random']","[0, 7, 8, 12]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'NA_ifelse']","[0, 1, 3, 7]"
"['NA_ifelse', 'NA_RL', 'M_Anh', 'random']","[0, 5, 7, 9]"
"['Phongcu', 'NA_RL', 'M_Anh', 'NA_ifelse']","[0, 2, 2, 5]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 2, 5]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'Phongcu']","[0, 7, 10, 13]"
"['M_Anh', 'Phongcu', 'random', 'NA_RL']","[0, 1, 4, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 4, 5]"
"['PhongMinhAnh', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 1, 4, 10]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'random']","[0, 1, 3, 7]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 2, 3, 7]"
"['Hieu', 'PhongMinhAnh', 'M_Anh', 'NA_ifelse']","[0, 1, 3, 4]"
"['M_Anh', 'Hieu', 'random', 'NA_ifelse']","[0, 4, 4, 9]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'M_Anh']","[0, 1, 1, 2]"
"['PhongMinhAnh', 'M_Anh', 'Hieu', 'random']","[0, 2, 6, 6]"
"['Hieu', 'M_Anh', 'PhongMinhAnh', 'Phongcu']","[0, 3, 4, 9]"
"['Phongcu', 'random', 'Hieu', 'M_Anh']","[0, 1, 3, 3]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 1, 4, 4]"
